year,month,day,team,opponent,teamscore,oppscore,D1,Win,G,Overall_W,Overall_L,W-L%,SRS,SOS,Home_W,Home_L,Away_W,Away_L,Tm.Total Pts,Tm.Pts_Allowed,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,G_2,Overall_W_2,Overall_L_2,W-L%_2,SRS_2,SOS_2,Home_W_2,Home_L_2,Away_W_2,Away_L_2,Tm.Total Pts_2,Tm.Pts_Allowed_2,Pace_2,ORtg_2,FTr_2,3PAr_2,TS%_2,TRB%_2,AST%_2,STL%_2,BLK%_2,eFG%_2,TOV%_2,ORB%_2,FT/FGA_2
2019,11,6,Texas A&M Corpus Christi,Louisiana Tech,49,82,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,30,22,8,0.733,7.06,-1.48,13,5,15,1,2235,1910,68.2,108.2,0.29,0.399,0.557,51.9,48.8,10.8,7.4,0.537,15.7,30.3,0.194
2019,11,11,Texas A&M Corpus Christi,Vanderbilt,66,71,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,31,11,20,0.355,3.33,6.26,3,15,10,10,2222,2313,69.9,101.7,0.413,0.444,0.541,47.1,48.4,10,8.8,0.504,16.4,25.1,0.287
2019,11,15,Texas A&M Corpus Christi,Stony Brook,63,68,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,32,20,12,0.625,-2.15,-4.41,10,6,10,4,2225,2108,69.9,98.8,0.328,0.434,0.519,51.8,48,9.3,13.3,0.481,17.8,29.5,0.237
2019,11,16,Texas A&M Corpus Christi,North Dakota State,45,57,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,31,23,8,0.742,1.08,-4.03,13,3,13,1,2303,2061,67.9,109,0.325,0.456,0.566,52.6,46.8,7.1,6,0.525,13.5,23.1,0.258
2019,11,17,Texas A&M Corpus Christi,Texas- Rio Grande Valley,63,55,2,1,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,30,14,16,0.467,-7.01,-3.67,9,7,11,3,2189,2143,70.6,102,0.343,0.311,0.526,48.5,57.9,11.7,10.8,0.489,15.3,28.6,0.246
2019,11,30,Texas A&M Corpus Christi,Texas- Rio Grande Valley,55,52,2,1,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,30,14,16,0.467,-7.01,-3.67,9,7,11,3,2189,2143,70.6,102,0.343,0.311,0.526,48.5,57.9,11.7,10.8,0.489,15.3,28.6,0.246
2019,12,3,Texas A&M Corpus Christi,Texas-San Antonio,67,89,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,31,13,18,0.419,-3.09,0.45,7,11,10,5,2392,2391,74.1,102.5,0.271,0.425,0.527,50.1,46.1,7.9,7.3,0.492,15,27.4,0.206
2019,12,15,Texas A&M Corpus Christi,Texas A&M,60,63,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,30,16,14,0.533,4.92,6.95,10,8,11,6,1894,1955,65.7,95.7,0.411,0.41,0.505,49.7,52.5,9.7,10.4,0.464,18.4,31.3,0.278
2019,12,18,Texas A&M Corpus Christi,Nicholls State,58,64,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,31,21,10,0.677,-3.88,-6.03,15,5,13,1,2388,2144,73,104.6,0.254,0.372,0.537,48.9,46.3,13.5,10.1,0.507,15.9,30.8,0.19
2019,12,21,Texas A&M Corpus Christi,Central Arkansas,67,71,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,31,10,21,0.323,-11.27,-2.7,9,11,8,4,2316,2553,75.9,96.1,0.402,0.404,0.528,50.3,58,6.8,12.7,0.485,20,28.4,0.288
2019,12,29,Texas A&M Corpus Christi,Nebraska,52,73,2,0,31,14,17,0.452,-10.35,-6.53,10,6,4,11,2047,2120,68.2,96.8,0.326,0.391,0.548,52.1,54.6,8.6,8.9,0.517,22.5,30.5,0.231,30,7,23,0.233,3.45,10.35,2,17,5,11,2096,2303,72.5,94.5,0.293,0.399,0.493,44,54.6,9.5,6.2,0.475,14.4,21.9,0.174
