Date,year,month,day,team,opponent,teamscore,oppscore,D1,Win,G,Overall_W,Overall_L,W-L%,SRS,SOS,Home_W,Home_L,Away_W,Away_L,Tm.Total Pts,Tm.Pts_Allowed,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,G_2,Overall_W_2,Overall_L_2,W-L%_2,SRS_2,SOS_2,Home_W_2,Home_L_2,Away_W_2,Away_L_2,Tm.Total Pts_2,Tm.Pts_Allowed_2,Pace_2,ORtg_2,FTr_2,3PAr_2,TS%_2,TRB%_2,AST%_2,STL%_2,BLK%_2,eFG%_2,TOV%_2,ORB%_2,FT/FGA_2
3/3/20,2020,3,1,Kansas,Siena,,,1,0.51,31,28,3,0.903,25,11.66,14,1,11,1,2312,1882,67.9,109.4,0.35,0.329,0.564,54.7,50.8,11.2,13.6,0.541,16.2,32.8,0.234,29,19,10,0.655,-1.39,-5.6,14,0,5,10,2104,1982,67.4,106.3,0.369,0.332,0.552,53.5,51.5,7.8,8.1,0.518,16.5,31.8,0.261
3/4/20,2020,3,2,Michigan State,UC Irvine,,,1,0.51,30,21,9,0.7,21.62,10.46,11,3,7,4,2273,1938,69.5,109.1,0.309,0.373,0.559,55.1,65,7.3,13.3,0.525,15.7,32.8,0.231,32,21,11,0.656,3.73,-2.17,11,2,8,8,2367,2087,69.1,107.1,0.283,0.298,0.555,56.7,53.5,9.3,9.9,0.526,17.2,35.3,0.209
3/5/20,2020,3,3,Creighton,Belmont,,,1,0.51,31,24,7,0.774,17.28,9.65,17,1,6,5,2428,2162,70,111.5,0.29,0.426,0.58,48.5,56.5,9.3,6.6,0.553,13.9,23.6,0.214,33,26,7,0.788,4.36,-6.17,13,1,11,5,2627,2241,72.8,109.4,0.227,0.438,0.572,50.5,61.3,10.4,8,0.553,14.6,24.9,0.162
3/6/20,2020,3,4,Wisconsin,Vermont,,,1,0.51,31,21,10,0.677,15.98,10.98,15,1,6,6,2082,1927,64.4,103.8,0.269,0.445,0.537,49.6,51.1,6.9,9.7,0.503,13.8,24.1,0.205,32,25,7,0.781,6.31,-4.72,12,3,12,3,2280,1889,66.5,107.2,0.305,0.433,0.547,53.2,54.7,8.9,10.8,0.518,14.8,28.3,0.218
3/7/20,2020,3,5,Auburn,East Tennessee State,,,1,0.51,31,25,6,0.806,15.02,7.38,16,1,5,5,2419,2182,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15,35.3,0.295,32,28,4,0.875,6.97,-1.89,16,1,11,3,2424,2013,68.2,111,0.363,0.389,0.565,53.3,51.5,12.3,11,0.537,15.3,32.8,0.25
3/8/20,2020,3,6,West Virginia,Wichita State,,,1,0.51,31,21,10,0.677,18.49,10.62,14,2,4,8,2179,1935,69.4,100.9,0.405,0.296,0.499,55.6,49.5,11,10.6,0.465,17,40,0.26,30,22,8,0.733,13.14,5.54,16,2,5,5,2148,1920,70.6,100.6,0.34,0.39,0.504,53.1,57.3,9.9,10.4,0.468,15.2,32.1,0.235
3/9/20,2020,3,7,Virginia,Texas Tech,,,1,0.51,30,23,7,0.767,12.21,7.54,14,3,7,4,1711,1571,60.2,93.5,0.266,0.37,0.501,52.8,54.8,8.8,16.5,0.469,17.7,26.4,0.191,31,18,13,0.581,16.82,8.4,13,4,3,7,2230,1969,68.2,103.8,0.345,0.366,0.556,50,61.1,11.1,11.5,0.517,17.4,27.8,0.26
3/10/20,2020,3,8,Florida,Southern California,,,1,0.51,31,19,12,0.613,14.98,9.14,11,4,4,7,2228,2047,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246,31,22,9,0.71,11.53,7.24,14,2,5,6,2179,2046,70,99.3,0.354,0.321,0.524,52.3,55.1,9.4,13.3,0.495,17.7,30.6,0.234
3/11/20,2020,3,9,Dayton,Winthrop,,,1,0.51,31,29,2,0.935,19.26,3.78,17,0,9,0,2480,2000,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244,33,23,10,0.697,1.33,-6.34,11,4,10,6,2689,2363,72.6,111,0.352,0.44,0.559,55.2,55.7,9.2,7,0.54,16.1,35.4,0.224
3/12/20,2020,3,10,Villanova,North Dakota State,,,1,0.51,31,24,7,0.774,16.86,10.05,12,3,9,3,2269,2058,67.6,107.8,0.269,0.473,0.557,51.2,56.3,8.3,6.5,0.526,14.1,25.6,0.204,31,23,8,0.742,1.08,-4.03,13,1,8,6,2303,2061,67.9,109,0.325,0.456,0.566,52.6,46.8,7.1,6,0.525,13.5,23.1,0.258
