Date,year,month,day,team,opponent,teamscore,oppscore,D1,Win,G,Overall_W,Overall_L,W-L%,SRS,SOS,Home_W,Home_L,Away_W,Away_L,Tm.Total Pts,Tm.Pts_Allowed,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,G_2,Overall_W_2,Overall_L_2,W-L%_2,SRS_2,SOS_2,Home_W_2,Home_L_2,Away_W_2,Away_L_2,Tm.Total Pts_2,Tm.Pts_Allowed_2,Pace_2,ORtg_2,FTr_2,3PAr_2,TS%_2,TRB%_2,AST%_2,STL%_2,BLK%_2,eFG%_2,TOV%_2,ORB%_2,FT/FGA_2
4/4/20,2020,3,33,Kansas,Florida,,,1,0.51,31,28,3,0.903,25,11.66,14,1,11,1,2312,1882,67.9,109.4,0.35,0.329,0.564,54.7,50.8,11.2,13.6,0.541,16.2,32.8,0.234,31,19,12,0.613,14.98,9.14,11,4,4,7,2228,2047,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246
4/5/20,2020,3,34,Michigan State,Texas Tech,,,1,0.51,30,21,9,0.7,21.62,10.46,11,3,7,4,2273,1938,69.5,109.1,0.309,0.373,0.559,55.1,65,7.3,13.3,0.525,15.7,32.8,0.231,31,18,13,0.581,16.82,8.4,13,4,3,7,2230,1969,68.2,103.8,0.345,0.366,0.556,50,61.1,11.1,11.5,0.517,17.4,27.8,0.26
4/6/20,2020,3,35,Creighton,West Virginia,,,1,0.51,31,24,7,0.774,17.28,9.65,17,1,6,5,2428,2162,70,111.5,0.29,0.426,0.58,48.5,56.5,9.3,6.6,0.553,13.9,23.6,0.214,31,21,10,0.677,18.49,10.62,14,2,4,8,2179,1935,69.4,100.9,0.405,0.296,0.499,55.6,49.5,11,10.6,0.465,17,40,0.26
4/7/20,2020,3,36,Wisconsin,Auburn,,,1,0.51,31,21,10,0.677,15.98,10.98,15,1,6,6,2082,1927,64.4,103.8,0.269,0.445,0.537,49.6,51.1,6.9,9.7,0.503,13.8,24.1,0.205,31,25,6,0.806,15.02,7.38,16,1,5,5,2419,2182,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15,35.3,0.295
4/8/20,2020,3,37,Dayton,Saint Mary's (CA),,,1,0.51,31,29,2,0.935,19.26,3.78,17,0,9,0,2480,2000,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244,31,24,7,0.774,12.42,4.36,14,3,6,3,2353,2060,65.2,113.7,0.304,0.362,0.586,51.8,44.6,9.9,5.4,0.556,13.2,25.6,0.229
4/9/20,2020,3,38,Villanova,Michigan,,,1,0.51,31,24,7,0.774,16.86,10.05,12,3,9,3,2269,2058,67.6,107.8,0.269,0.473,0.557,51.2,56.3,8.3,6.5,0.526,14.1,25.6,0.204,30,19,11,0.633,18.43,11,11,5,4,6,2256,2033,69.5,106.9,0.264,0.391,0.553,50.7,53,7.8,10.4,0.528,13.7,25.2,0.188
4/10/20,2020,3,39,Duke,Iowa,,,1,0.51,31,25,6,0.806,22.62,8.07,15,2,7,4,2558,2107,72.9,111.4,0.356,0.315,0.559,53.8,52.1,11.2,13.6,0.526,15.2,34.8,0.256,30,20,10,0.667,16.13,10.43,14,2,4,6,2334,2163,70.8,109.8,0.346,0.377,0.552,51.5,63.7,9,10.7,0.514,14.7,32.1,0.257
4/11/20,2020,3,40,Maryland,Butler,,,1,0.51,30,23,7,0.767,17.38,10.25,15,1,5,6,2143,1929,67.9,105.3,0.374,0.432,0.528,52.8,55.3,6.7,11.8,0.482,14.4,31.6,0.279,31,22,9,0.71,15.59,9.17,14,3,5,6,2125,1926,64.6,105.7,0.294,0.368,0.553,53.3,50.9,8.2,7.8,0.523,15.4,29.4,0.214
4/12/20,2020,3,41,Baylor,Louisiana State,,,1,0.51,30,26,4,0.867,20.1,9.1,14,1,8,2,2134,1804,66.6,106.4,0.308,0.369,0.523,52.5,54.1,12.2,12.5,0.494,14.9,35.7,0.213,31,21,10,0.677,14.41,7.18,15,2,5,6,2495,2271,70.8,112.8,0.354,0.343,0.568,54.3,44.9,8.8,10.6,0.527,15.1,35.1,0.272
4/13/20,2020,3,42,Florida State,Rutgers,,,1,0.51,31,26,5,0.839,17.31,7.66,16,0,7,5,2336,2037,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226,31,20,11,0.645,15.79,9.75,18,1,2,8,2168,1942,67.7,102.5,0.291,0.3,0.516,54,47.8,9.6,13.6,0.493,15.3,32.4,0.187
4/14/20,2020,3,43,Seton Hall,Pennsylvania St.,,,1,0.51,30,21,9,0.7,16.75,9.95,11,4,8,4,2241,2037,71,105.3,0.348,0.405,0.548,50.3,55.8,9.9,14.9,0.514,16.3,29.2,0.249,31,21,10,0.677,16.11,9.24,14,3,5,6,2327,2114,71.4,105.1,0.31,0.396,0.525,50.8,53.2,10.5,12.1,0.495,13.6,29.3,0.214
4/15/20,2020,3,44,Louisville,Ohio State,,,1,0.51,31,24,7,0.774,17.95,7.57,17,1,6,5,2296,1974,67.1,109.4,0.322,0.38,0.557,54.5,53.5,7.5,7.9,0.525,15.4,32,0.236,30,21,9,0.7,19.68,9.88,15,2,4,6,2165,1871,66.8,108,0.368,0.418,0.563,54.1,55.7,7.5,10.4,0.524,16.7,31.1,0.276
4/16/20,2020,3,45,Gonzaga,Marquette,,,1,0.51,31,29,2,0.935,22.81,2.68,17,0,10,1,2720,2096,72.9,119.8,0.385,0.318,0.6,56.5,53.8,10.3,9.5,0.577,13.5,33.5,0.265,30,18,12,0.6,15.4,9.27,13,3,3,8,2333,2149,71.4,107.2,0.392,0.446,0.557,53.2,53.5,7.1,10.6,0.516,16.4,29.8,0.291
4/17/20,2020,3,46,San Diego State,Illinois,,,1,0.51,32,30,2,0.938,18.39,3.94,14,1,11,0,2395,1903,66.1,113.3,0.285,0.42,0.579,52.5,55.5,10.5,8.9,0.548,14.3,28.9,0.22,30,20,10,0.667,15.21,9.65,14,3,6,6,2161,1948,67.7,106,0.333,0.306,0.527,55.5,50.1,7.1,7.3,0.489,15.3,35.9,0.244
4/18/20,2020,3,47,Kentucky,Indiana,,,1,0.51,31,25,6,0.806,15.75,7.43,16,2,8,2,2307,2049,68.5,107.9,0.408,0.266,0.561,53,52.2,7.6,13.6,0.507,15.8,30.8,0.325,31,19,12,0.613,14.69,10.63,15,4,2,8,2197,2071,68.4,103.2,0.397,0.294,0.525,54,50.3,8.2,12,0.489,15.8,32.7,0.271
4/19/20,2020,3,48,Oregon,Brigham Young,,,1,0.51,31,24,7,0.774,18.27,9.14,17,0,5,5,2352,2069,66.1,111.7,0.289,0.373,0.567,51.5,52,11.4,9.6,0.543,15.1,32.7,0.202,31,24,7,0.774,17.13,6.26,14,1,6,5,2498,2137,70,113.8,0.237,0.415,0.607,49.6,58.7,8.3,5.5,0.592,14.1,20.6,0.167
